nb_trawlers,fish_stock,capture,income,price,fleet_maintenance_cost,capital
26,8416.338488902908,80.0,432.13535336100904,5.0,520.0,-12019.541375201716
26,8404.217393907682,41.26840595344324,400.0,5.0,520.0,-12139.541375201716
26,8432.372239966357,40.0,206.34202976721622,5.0,520.0,-12453.1993454345
26,8441.247606496872,40.0,200.0,5.0,520.0,-12773.1993454345
26,8438.704295873311,39.4314226828767,200.0,5.0,520.0,-13093.1993454345
26,8446.859984179167,34.76540980114409,197.1571134143835,5.0,520.0,-13416.042232020116
26,8465.03691120611,40.0,173.82704900572045,5.0,520.0,-13762.215183014396
26,8469.348352263494,24.439376065938866,200.0,5.0,520.0,-14082.215183014396
26,8491.655718743083,40.88319417374868,122.19688032969432,5.0,520.0,-14480.0183026847
26,8495.636274435303,30.17223757321237,204.4159708687434,5.0,520.0,-14795.602331815957
26,8521.954358075822,40.0,150.86118786606187,5.0,520.0,-15164.741143949896
26,8542.133650161584,40.0,200.0,5.0,520.0,-15484.741143949896
26,8547.62248994278,60.0,200.0,5.0,520.0,-15804.741143949896
26,8528.852809343629,69.97385086727053,300.0,5.0,520.0,-16024.741143949896
26,8505.73828117545,60.0,349.86925433635264,5.0,520.0,-16194.871889613543
26,8494.910055739418,60.0,300.0,5.0,520.0,-16414.871889613543
26,8488.630061299973,60.0,300.0,5.0,520.0,-16634.871889613543
26,8474.306924895596,33.20405540225372,300.0,5.0,520.0,-16854.871889613543
26,8477.593084931665,48.1752508931588,166.0202770112686,5.0,520.0,-17208.851612602273
26,8463.30229002792,25.452443513499315,240.87625446579398,5.0,520.0,-17487.97535813648
26,8475.205245712565,20.0,127.26221756749658,5.0,520.0,-17880.713140568983
26,8486.984193223283,40.0,100.0,5.0,520.0,-18300.713140568983
26,8459.613814845701,40.0,200.0,5.0,520.0,-18620.713140568983
26,8439.278842607928,40.0,200.0,5.0,520.0,-18940.713140568983
26,8425.614106839641,40.0,200.0,5.0,520.0,-19260.713140568983
26,8386.339595287462,60.0,200.0,5.0,520.0,-19580.713140568983
26,8326.26155395546,80.0,300.0,5.0,520.0,-19800.713140568983
26,8244.717518982563,64.44977512037644,400.0,5.0,520.0,-19920.713140568983
26,8184.5306368189895,9.60871820718599,322.2488756018822,5.0,520.0,-20118.4642649671
26,8180.604908950719,0.0,48.04359103592995,5.0,520.0,-20590.42067393117
26,8196.497976951967,0.0,0.0,5.0,520.0,-21110.42067393117
26,8216.318559764439,15.971229825119002,0.0,5.0,520.0,-21630.42067393117
26,8232.071975685352,40.0,79.85614912559501,5.0,520.0,-22070.564524805573
26,8226.589054960838,40.0,200.0,5.0,520.0,-22390.564524805573
26,8217.651687562733,40.0,200.0,5.0,520.0,-22710.564524805573
26,8217.649223299382,80.0,200.0,5.0,520.0,-23030.564524805573
26,8183.886129594914,100.75006682585112,400.0,5.0,520.0,-23150.564524805573
26,8127.186995517688,100.0,503.7503341292556,5.0,520.0,-23166.81419067632
26,8079.975559106382,86.04761686181133,500.0,5.0,520.0,-23186.81419067632
26,8030.378372569229,100.0,430.23808430905666,5.0,520.0,-23276.57610636726
26,7959.899757020518,70.43868837930759,500.0,5.0,520.0,-23296.57610636726
26,7927.100187615327,49.48192530925019,352.19344189653793,5.0,520.0,-23464.382664470722
26,7918.252992735179,60.0,247.40962654625093,5.0,520.0,-23736.973037924472
26,7890.511250707084,61.655982793347384,300.0,5.0,520.0,-23956.973037924472
26,7857.06124751674,65.19599137900597,308.2799139667369,5.0,520.0,-24168.693123957735
26,7822.022624888102,63.52197377161214,325.9799568950299,5.0,520.0,-24362.713167062706
26,7792.23856862609,57.988812205544875,317.6098688580607,5.0,520.0,-24565.103298204645
26,7760.881765176248,39.43677612858788,289.9440610277244,5.0,520.0,-24795.159237176922
26,7755.290459480234,0.0,197.18388064293939,5.0,520.0,-25117.97535653398
26,7803.939481064085,0.0,0.0,5.0,520.0,-25637.97535653398
26,7868.102554868114,0.0,0.0,5.0,520.0,-26157.97535653398
26,7948.112450302791,0.0,0.0,5.0,520.0,-26677.97535653398
26,8026.025153906038,0.0,0.0,5.0,520.0,-27197.97535653398
26,8109.846526270232,0.0,0.0,5.0,520.0,-27717.97535653398
26,8177.254104027693,0.0,0.0,5.0,520.0,-28237.97535653398
26,8240.716144806487,0.0,0.0,5.0,520.0,-28757.97535653398
26,8297.48273821903,60.0,0.0,5.0,520.0,-29277.97535653398
26,8292.270319017543,55.5424591204343,300.0,5.0,520.0,-29497.97535653398
26,8291.431371249184,45.54574263549027,277.71229560217154,5.0,520.0,-29740.26306093181
26,8309.427827667992,60.0,227.72871317745137,5.0,520.0,-30032.53434775436
26,8312.345101487166,60.0,300.0,5.0,520.0,-30252.53434775436
26,8303.914978601551,60.0,300.0,5.0,520.0,-30472.53434775436
26,8296.721550994747,120.0,300.0,5.0,520.0,-30692.53434775436
26,8224.506788646033,158.31709446958604,600.0,5.0,520.0,-30612.53434775436
26,8113.552860646526,115.63176492184131,791.5854723479301,5.0,520.0,-30340.94887540643
26,8056.59900537169,118.29426591918825,578.1588246092065,5.0,520.0,-30282.790050797223
26,7989.693184498387,142.9885490093465,591.4713295959413,5.0,520.0,-30211.31872120128
26,7885.434935876689,60.0,714.9427450467324,5.0,520.0,-30016.375976154548
26,7879.173075036377,54.51482695449441,300.0,5.0,520.0,-30236.375976154548
26,7870.4903546543355,100.0,272.57413477247206,5.0,520.0,-30483.801841382076
26,7803.834036416094,100.0,500.0,5.0,520.0,-30503.801841382076
26,7727.956009298915,100.0,500.0,5.0,520.0,-30523.801841382076
26,7661.927568146477,61.35182943785213,500.0,5.0,520.0,-30543.801841382076
26,7641.838410203176,87.6367259824101,306.75914718926066,5.0,520.0,-30757.042694192816
26,7599.07775825127,100.0,438.18362991205043,5.0,520.0,-30838.859064280765
26,7541.803132802693,115.40102456483208,500.0,5.0,520.0,-30858.859064280765
26,7455.221342540049,104.42347860755008,577.0051228241605,5.0,520.0,-30801.853941456604
26,7379.567478650467,70.21834055054768,522.1173930377504,5.0,520.0,-30799.736548418852
26,7335.055384645429,60.0,351.09170275273846,5.0,520.0,-30968.644845666113
26,7310.82151388179,22.758966686451878,300.0,5.0,520.0,-31188.644845666113
26,7310.185830170294,20.0,113.7948334322594,5.0,520.0,-31594.850012233852
26,7321.953182851843,40.0,100.0,5.0,520.0,-32014.850012233852
26,7307.6766316391395,40.0,200.0,5.0,520.0,-32334.850012233852
26,7276.304423220601,80.0,200.0,5.0,520.0,-32654.850012233852
