fish_stock,capture,income,nb_trawlers
13392.842831595413,70.0149147970098,1248.4520807905312,5
13412.074886482807,40.0,1498.5266547755803,5
13464.87632773149,40.0,1598.5266547755803,5
13516.880314320655,40.0,1698.5266547755803,5
13544.907554770143,26.490010143120273,1798.5266547755803,5
13609.148479818783,3.436267826406269,1830.9767054911815,5
13672.582073928426,20.0,1748.1580446232128,5
13725.38512120211,20.0,1748.1580446232128,5
13767.675064162227,20.0,1748.1580446232128,5
13818.75942503243,20.0,1748.1580446232128,5
13875.969402499559,15.750412215508272,1748.1580446232128,5
13938.690211306683,0.0,1726.9101057007542,5
14007.5842563447,0.0,1626.9101057007542,5
14046.755465880668,0.0,1526.9101057007542,5
14065.531338714427,0.0,1426.9101057007542,5
14079.702416542612,0.0,1326.9101057007542,5
14097.484647487872,0.0,1226.9101057007542,5
14115.83476794301,0.0,1126.9101057007542,5
14134.948185718575,0.0,1026.9101057007542,5
14146.876996467736,0.0,926.9101057007542,5
14168.903197397267,0.0,826.9101057007542,5
14202.34071349886,0.0,726.9101057007542,5
14249.75866718574,0.0,626.9101057007542,5
14298.180361021447,0.0,526.9101057007542,5
14360.83575779223,0.0,426.91010570075423,5
14428.166721210699,0.0,326.91010570075423,5
14490.996497918533,0.0,226.91010570075423,5
14528.346360293217,20.0,126.91010570075423,5
14575.443497321918,20.0,126.91010570075423,5
14596.807708067347,20.0,126.91010570075423,5
14639.4924718953,0.0,126.91010570075423,5
14702.95794140416,0.0,26.91010570075423,5
14757.629343064475,0.0,-73.08989429924577,5
14818.650920248014,0.0,-173.08989429924577,5
14891.097346569617,0.0,-273.08989429924577,5
14966.771611440327,0.0,-373.08989429924577,5
15067.7097456294,0.0,-473.08989429924577,5
15168.634216305993,20.0,-573.0898942992458,5
15251.083197995822,20.0,-573.0898942992458,5
15326.460375231012,20.0,-573.0898942992458,5
15413.459976167158,20.0,-573.0898942992458,5
15486.217798755872,20.0,-573.0898942992458,5
15555.077688378553,20.0,-573.0898942992458,5
15617.430739558476,32.340742370595144,-573.0898942992458,5
15648.00362129167,20.0,-511.38618244627,5
15644.863478188721,20.0,-511.38618244627,5
15651.05276126378,40.0,-511.38618244627,5
15653.081053637827,40.0,-411.38618244627,5
15635.129972985507,60.0,-311.38618244627,5
15603.466878429985,16.9651451642221,-111.38618244627003,5
15633.3861315237,0.0,-126.56045662515953,5
15695.333455979247,0.0,-226.56045662515953,5
15737.942405111658,20.0,-326.56045662515953,5
15753.77055056675,20.0,-326.56045662515953,5
15771.19611907886,20.0,-326.56045662515953,5
15786.914751792252,20.0,-326.56045662515953,5
15811.076593225345,20.0,-326.56045662515953,5
15810.960450837945,20.0,-326.56045662515953,5
15805.415703252873,20.0,-326.56045662515953,5
15769.068811690093,33.50602849559456,-326.56045662515953,5
15725.153895978656,20.0,-259.0303141471867,5
15719.396276420046,20.0,-259.0303141471867,5
15731.385090086462,20.0,-259.0303141471867,5
15732.277178653218,20.0,-259.0303141471867,5
15737.919039599274,14.35415169646245,-259.0303141471867,5
15754.03002895288,20.0,-287.2595556648744,5
15769.953085615034,20.0,-287.2595556648744,5
15797.294649563455,20.0,-287.2595556648744,5
15841.471399075965,20.0,-287.2595556648744,5
15894.771581249033,40.0,-287.2595556648744,5
15940.08698405405,40.0,-187.25955566487443,5
15994.840206130637,40.0,-87.25955566487443,5
16046.466745399379,27.53779518062285,12.740444335125574,5
16115.705451794214,0.0,50.42942023823983,5
16217.71219629965,0.0,-49.57057976176017,5
16279.724091420538,0.0,-149.57057976176017,5
16343.286393550117,0.0,-249.57057976176017,5
16402.433500173607,0.0,-349.5705797617602,5
16476.16055371947,0.0,-449.5705797617602,5
16523.71532372147,20.0,-549.5705797617602,5
16547.79037045252,20.0,-549.5705797617602,5
16575.70535191142,20.0,-549.5705797617602,5
16630.014765288004,40.0,-549.5705797617602,5
16677.19839691471,38.12920243716756,-449.5705797617602,5
16705.921731432085,20.0,-358.9245675759224,5
16747.223516806735,20.0,-358.9245675759224,5
16782.795562891104,20.0,-358.9245675759224,5
16807.771750354663,20.0,-358.9245675759224,5
